자치구명,법정동명,행정동명,등록동물수(마리),등록품종수,등록소유자수,동물소유자당등록동물수,해당동의등록대행업체수
종로구,계동,가회동,74,18,60,1.23,72
종로구,재동,가회동,4,3,4,1,4
종로구,평동,가회동,34,13,26,1.31,32
종로구,화동,삼청동,8,5,8,1,8
종로구,가회동,가회동,93,35,62,1.5,90
종로구,견지동,종로1234가동,15,7,10,1.5,15
종로구,경운동,종로1234가동,11,6,9,1.22,11
종로구,공평동,종로1234가동,2,1,1,2,2
종로구,관수동,종로1234가동,1,1,1,1,1
종로구,관철동,종로1234가동,4,3,4,1,4
종로구,관훈동,종로1234가동,2,2,2,1,2
종로구,교남동,교남동,3,3,3,1,3
종로구,교북동,교남동,45,14,34,1.32,44
종로구,구기동,평창동,467,58,346,1.35,454
종로구,궁정동,청운효자동,6,5,5,1.2,6
종로구,권농동,종로1234가동,21,8,14,1.5,21
종로구,낙원동,종로1234가동,25,12,19,1.32,24
종로구,내수동,사직동,146,32,103,1.42,144
종로구,내자동,사직동,14,8,11,1.27,14
종로구,누상동,청운효자동,174,30,143,1.22,169
종로구,누하동,청운효자동,50,20,40,1.25,49
종로구,당주동,사직동,24,14,16,1.5,24
종로구,도렴동,사직동,2,2,2,1,2
종로구,돈의동,종로1234가동,28,10,17,1.65,27
종로구,동숭동,혜화동,274,38,214,1.28,271
종로구,무악동,무악동,393,35,317,1.24,389
종로구,봉익동,종로1234가동,3,3,3,1,3
종로구,부암동,부암동,415,60,297,1.4,409
종로구,사간동,삼청동,18,10,13,1.38,18
종로구,사직동,사직동,205,34,159,1.29,203
종로구,삼청동,삼청동,111,29,78,1.42,106
종로구,서린동,종로1234가동,28,15,21,1.33,24
종로구,세종로,사직동,31,18,23,1.35,25
종로구,소격동,삼청동,12,9,10,1.2,12
종로구,송월동,교남동,4,3,3,1.33,4
종로구,수송동,종로1234가동,20,7,16,1.25,20
종로구,숭인동,숭인동,719,53,548,1.31,697
종로구,신교동,청운효자동,81,27,66,1.23,80
종로구,신영동,부암동,265,39,205,1.29,251
종로구,안국동,삼청동,12,9,10,1.2,12
종로구,연건동,이화동,55,17,46,1.2,54
종로구,연지동,종로56가동,30,14,22,1.36,28
종로구,옥인동,청운효자동,130,30,109,1.19,127
종로구,와룡동,혜화동,5,4,4,1.25,4
종로구,운니동,종로1234가동,6,5,5,1.2,6
종로구,원남동,종로1234가동,37,16,21,1.76,32
종로구,원서동,가회동,98,20,70,1.4,94
종로구,이화동,이화동,101,25,68,1.49,101
종로구,익선동,종로1234가동,37,12,31,1.19,37
종로구,인사동,종로1234가동,10,4,5,2,10
종로구,인의동,종로1234가동,40,12,32,1.25,40
종로구,장사동,종로1234가동,2,2,1,2,2
종로구,적선동,사직동,11,9,10,1.1,11
종로구,창성동,청운효자동,35,13,22,1.59,34
종로구,창신동,창신동,981,53,738,1.33,954
종로구,청운동,청운효자동,131,37,108,1.21,127
종로구,청진동,종로1234가동,4,3,3,1.33,4
종로구,체부동,사직동,66,26,52,1.27,64
종로구,충신동,종로56가동,132,28,95,1.39,126
종로구,통의동,사직동,25,16,19,1.32,23
종로구,통인동,청운효자동,45,17,32,1.41,45
종로구,팔판동,삼청동,23,15,19,1.21,23
종로구,평창동,평창동,999,74,736,1.36,953
종로구,필운동,사직동,44,21,36,1.22,44
종로구,행촌동,교남동,164,24,127,1.29,163
종로구,혜화동,혜화동,174,31,130,1.34,170
종로구,홍지동,부암동,121,25,93,1.3,120
종로구,홍파동,교남동,131,26,98,1.34,129
종로구,효자동,청운효자동,41,17,35,1.17,39
종로구,효제동,종로56가동,15,10,11,1.36,15
종로구,명륜1가,혜화동,207,39,170,1.22,199
종로구,명륜2가,혜화동,148,30,111,1.33,145
종로구,명륜3가,혜화동,222,33,172,1.29,219
종로구,명륜4가,혜화동,46,16,36,1.28,46
종로구,종로1가,종로1234가동,12,8,10,1.2,11
종로구,종로3가,종로1234가동,1,1,1,1,1
종로구,종로4가,종로1234가동,2,2,2,1,1
종로구,종로5가,종로56가동,11,9,8,1.38,11
종로구,종로6가,종로56가동,32,16,23,1.39,31
종로구,신문로1가,사직동,5,4,5,1,5
종로구,신문로2가,사직동,52,18,40,1.3,52